,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
lacZ_MG1063_120_r1,10.0608,10.3823,7.7487,12.056,10.8366,12.1824,10.6201,7.79547,8.33752,8.55843,8.22963,8.52236,9.26156,7.63355,8.21455,8.62619
ccdB_MG1063_t0_r1,9.56015,9.99356,7.77098,12.1247,11.6114,12.633,11.627,8.66865,8.24553,8.60569,8.43072,8.82449,9.47559,7.21755,7.76936,9.27423
ccdB_MG1063_t0_r2,9.23206,9.73493,7.91285,11.9639,11.4417,12.4325,11.4601,8.39921,8.11851,8.61574,8.49185,8.81269,9.33476,7.2476,7.5487,9.19039
ccdB_MG1063_t30_r1,9.04842,9.35784,7.69886,11.7529,11.7553,12.5813,11.7899,8.36129,8.34436,8.61944,8.05177,8.37357,9.08047,7.27095,7.78974,8.8564
ccdB_MG1063_t30_r2,8.90094,9.3293,7.69616,11.5705,11.8508,12.7729,11.8351,8.59485,8.53211,8.59227,8.27649,8.41578,9.13202,7.17124,7.59399,8.72321
ccdB_MG1063_t60_r1,8.49069,9.04073,7.69369,12.232,12.5545,13.251,12.677,8.75727,8.39145,8.59979,8.20215,8.59396,9.01268,7.32749,7.80241,8.5072
ccdB_MG1063_t60_r2,8.34498,8.98862,7.63086,12.1775,12.5458,13.3114,12.8154,9.00429,8.55043,8.63858,8.26251,8.38478,8.8807,7.23202,7.63555,8.55325
ccdB_MG1063_t90_r1,8.44157,8.98527,7.92308,12.2078,13.0431,13.6222,13.2671,9.32717,8.6469,8.64361,8.10182,8.45225,8.8173,7.50585,7.68147,8.40504
ccdB_MG1063_t90_r2,8.27631,8.83692,8.07407,11.9835,13.1414,13.666,13.2698,9.00403,8.7122,8.65985,8.33066,8.33663,8.87992,7.44938,7.5539,8.60009
ccdB_MG1063_t120_r1,8.31038,8.8235,7.89375,11.8492,12.7882,13.4327,12.8675,9.02496,8.89742,9.02207,8.66074,8.15093,8.83451,7.75917,7.38271,8.7755
lacZ_W1863_t0_r1,10.7069,10.6778,8.12597,12.3166,11.5627,12.5542,11.5703,8.44361,8.59868,8.58037,8.28379,8.57338,9.35322,7.27854,8.18192,8.4475
lacZ_W1863_t30_r1,10.7595,10.981,8.06599,11.671,11.3083,12.4307,11.2016,8.28489,8.47243,8.47482,8.09168,8.39624,9.19784,7.6758,8.47513,8.47269
lacZ_W1863_t60_r1,10.6424,11.1513,8.15192,12.1481,11.0901,12.3809,11.0054,7.9097,8.35678,8.44784,8.17976,8.58187,9.10054,7.95597,8.96343,8.49215
lacZ_W1863_t90_r1,10.9269,11.4236,8.30567,12.2282,10.8422,12.1703,10.6834,7.9283,8.43509,8.68309,8.02973,8.46941,8.99411,8.88015,9.66214,8.8951
ccdB_W1872_t0_r1,9.92986,10.0698,7.87776,12.2469,11.3734,12.5625,11.3328,8.08451,8.34137,8.48091,8.22714,8.58386,9.37903,7.55141,8.38805,8.32926
ccdB_W1872_t30_r1,9.36596,9.69624,7.92616,11.9746,11.2816,12.3725,11.1833,7.74904,8.07594,8.3619,8.10916,8.06399,9.08524,7.50286,8.06036,8.52059
ccdB_W1872_t60_r1,9.6864,10.2065,7.91689,12.0321,11.7371,12.7635,11.5113,7.6427,8.2949,8.48891,8.11233,8.39651,8.80847,8.21131,9.18094,8.71054
ccdB_W1872_t90_r1,9.65302,10.3412,7.92421,11.9558,11.7494,12.8574,11.616,7.67496,8.33405,8.68086,8.21723,8.35291,8.74288,8.08833,8.69383,8.50579
M9_K_appY_r1,12.5781,12.9882,9.07742,11.6599,11.0475,12.3702,10.9304,8.06186,8.79079,8.44981,8.30288,8.90571,9.28274,8.02007,8.50451,8.63105
M9_K_appY_r2,12.6912,12.9322,9.23112,11.7255,11.1117,12.4556,10.8805,8.24207,8.71275,8.3833,8.26974,8.7872,9.17633,8.01495,8.6184,8.63291
M9_K_appY_r3,11.5557,12.216,8.54486,11.8797,11.0008,12.4713,10.8758,7.85362,8.44659,8.34725,7.79797,8.51526,9.07374,8.13053,8.64431,8.62802
M9_K_arcA_r1,12.3788,12.6005,8.88521,11.2593,10.8613,12.4455,10.8662,8.94462,8.90052,8.51325,8.49,9.13483,9.03882,8.12396,8.58183,8.72055
M9_K_arcA_r2,12.4836,12.8113,9.01896,11.7485,11.2282,12.5504,10.9113,8.95859,8.84773,8.61958,8.3623,9.11168,9.2503,8.01589,8.63227,8.60079
M9_K_arcA_r3,12.4621,12.7313,8.944,11.325,11.0103,12.569,10.9253,8.89322,8.90219,8.48981,8.39263,9.15249,8.98129,8.12247,8.58912,8.68124
M9_K_arcAfnr_r1,12.421,13.0223,9.25796,11.7298,11.1619,12.6147,11.0819,8.7059,8.87644,8.40476,8.55357,9.23124,9.26307,8.21087,8.74591,8.78545
M9_K_arcAfnr_r2,12.3993,13.0078,9.206,11.6627,11.1478,12.5901,11.085,8.81051,8.77857,8.41029,8.44741,9.12819,9.1944,8.10697,8.57868,8.7899
M9_K_arcAfnr_r3,12.2307,12.8649,9.14143,11.6313,11.0806,12.5004,11.0649,8.88216,8.86208,8.34815,8.42706,8.9744,9.13703,8.19725,8.57842,8.64199
M9_K_fnr_r1,12.5651,12.9322,9.09351,11.4889,11.1118,12.6646,10.8262,8.07859,8.60196,8.4013,8.18541,8.9162,9.03242,8.19071,8.6558,8.71881
M9_K_fnr_r2,12.4021,13.0917,9.03606,11.6335,11.1546,12.6041,10.9919,8.27524,8.67617,8.40644,8.26653,9.1062,9.08138,8.31384,8.82998,8.77847
M9_K_fnr_r3,12.6349,12.9562,8.97755,11.6485,10.9788,12.465,10.7903,8.0669,8.47894,8.21155,7.99862,8.93699,8.92642,8.1094,8.79328,8.6556
M9_K_oxyR_r1,12.448,12.8982,9.09931,11.748,11.1139,12.549,10.7795,8.08834,8.76881,8.3737,8.15493,8.86375,9.085,8.12372,8.71432,8.62735
M9_K_oxyR_r2,12.5297,12.993,9.21469,11.6132,11.0527,12.4722,10.8106,7.94933,8.5005,8.28193,8.23927,8.91787,9.08149,8.15495,8.68696,8.70907
M9_K_oxyR_r3,12.2774,12.8378,9.11104,11.6667,11.0708,12.5639,10.9378,8.02211,8.42306,8.19603,8.21152,8.93002,9.15863,8.34282,8.70076,8.72046
M9_K_soxS_r1,12.3561,12.5727,8.8524,11.4787,10.9261,12.0932,10.7256,8.14395,8.67305,8.35112,8.26687,8.89274,9.03277,8.01825,8.5265,8.70606
M9_K_soxS_r2,12.4646,12.8204,8.93715,11.5538,11.0564,12.4221,10.7441,8.09321,8.81926,8.45664,8.26991,8.91011,9.1038,8.09931,8.60257,8.71099
M9_K_soxS_r3,12.5124,12.8182,9.08007,11.8023,11.2357,12.599,11.0594,8.2,8.80103,8.40502,8.26983,8.78308,9.10063,8.01728,8.5374,8.64325
M9_WT_r1,12.5442,12.8436,8.97037,11.541,11.075,12.5346,11.0775,8.34812,8.78883,8.34172,8.29553,8.99472,9.26556,8.25603,8.69633,8.62974
M9_WT_r2,12.4534,12.8566,8.89679,11.7505,11.3326,12.8823,11.1492,8.34377,8.97688,8.55859,8.3731,9.07753,9.31588,8.31879,8.78476,8.66121
M9_WT_r3,12.4406,12.7065,8.90227,11.5034,11.3315,12.7502,11.2256,8.34951,8.79632,8.43647,8.47466,9.1383,9.33049,8.08687,8.78916,8.75742
M9_K_appY_anaerobic_r1,10.286,11.2942,8.32086,11.8195,11.161,12.6709,11.0549,8.26236,8.65053,8.39997,7.84581,8.59322,9.27426,8.27368,8.76667,8.80581
M9_K_appY_anaerobic_r2,10.341,11.2887,8.30282,11.7067,11.0835,12.6071,11.0319,8.31849,8.26661,8.25152,7.74537,8.58923,9.29817,8.23327,8.70774,8.85333
M9_K_appY_anaerobic_r3,10.03,11.2009,8.13069,11.6801,11.1901,12.5596,11.1068,8.27737,8.63085,8.17584,7.81066,8.57095,9.38978,8.32178,8.89071,8.78539
M9_K_arcA_anaerobic_r1,12.0284,12.4999,8.65882,11.4476,10.9243,12.678,10.8467,9.12798,9.06699,8.55149,8.48432,9.52083,9.02318,8.02175,8.51283,8.50432
M9_K_arcA_anaerobic_r2,12.0748,12.5666,8.42949,10.9371,11.0055,12.6974,10.9562,9.04283,9.12203,8.61057,8.52614,9.44312,8.95502,7.95691,8.52898,8.34353
M9_K_arcA_anaerobic_r3,12.0916,12.675,9.01445,11.7007,10.9228,12.6117,10.7841,8.98812,9.08272,8.75701,8.56876,9.42422,8.98394,8.05266,8.56959,8.50849
M9_K_arcAfnr_anaerobic_r1,11.7787,12.5335,8.68995,11.8324,11.0541,12.6993,10.9526,9.17729,9.23887,8.68249,8.71685,9.61371,8.86698,8.137,8.60857,8.27252
M9_K_arcAfnr_anaerobic_r2,11.7508,12.6052,8.67429,12.3411,10.9712,12.4792,10.8775,9.42488,9.13069,8.75504,8.75123,9.6812,9.00197,8.2329,8.81392,8.45414
M9_K_arcAfnr_anaerobic_r3,11.7976,12.5783,8.83757,11.8447,10.9264,12.6088,10.9877,9.16393,9.26333,8.66668,8.67871,9.49053,9.09379,8.24426,8.57073,8.30296
M9_K_fnr_anaerobic_r1,11.3073,12.0946,8.42011,11.7727,11.164,12.5639,10.8798,7.85812,8.59359,8.26032,7.90044,8.63014,9.09449,8.21227,8.52093,8.73032
M9_K_fnr_anaerobic_r2,11.19,11.9511,8.27427,11.6393,11.152,12.6707,10.9214,7.88145,8.55933,8.15032,7.63974,8.59687,9.04611,8.25064,8.67964,8.59359
M9_K_fnr_anaerobic_r3,11.3367,11.9887,8.39707,11.7367,10.9596,12.4198,10.8143,7.89509,8.44164,8.22585,7.83966,8.5677,9.11081,8.09791,8.58482,8.78441
M9_K_oxyR_anaerobic_r1,10.2699,11.2324,8.26804,11.7543,11.0133,12.6577,11.0439,8.18853,8.28518,8.17335,7.66123,8.49224,9.12539,8.33628,8.76582,8.67201
M9_K_oxyR_anaerobic_r2,10.1885,11.1383,8.18408,11.8595,11.0901,12.6818,11.0287,8.18807,8.31348,8.19682,7.84512,8.50136,9.10928,8.31374,8.74492,8.73003
M9_K_oxyR_anaerobic_r3,9.88201,11.1601,8.12771,11.5719,10.9931,12.5089,11.0931,8.24541,8.63454,8.27243,7.77145,8.53171,9.25354,8.353,8.82067,8.62381
M9_K_soxS_anaerobic_r1,10.4994,11.2855,8.26594,11.8194,10.9725,12.5397,10.8803,8.23752,8.53183,8.28059,8.00725,8.5905,9.21769,8.05463,8.52729,8.80989
M9_K_soxS_anaerobic_r2,10.4088,11.2202,8.1301,11.6294,11.0497,12.5966,10.9107,8.08455,8.42546,8.21355,7.8195,8.5162,9.10183,8.07612,8.57869,8.69868
M9_K_soxS_anaerobic_r3,10.6284,11.4664,8.2246,11.7538,10.9533,12.4866,10.8139,8.14834,8.47319,8.33875,7.90659,8.5783,9.22167,8.02212,8.56203,8.86479
M9_WT_anaerobic_r1,10.2189,11.5964,8.1102,11.9071,11.0886,12.4217,10.9619,8.13014,8.62547,8.33976,7.98604,8.74258,9.21693,8.5982,9.01141,8.91045
M9_WT_anaerobic_r2,10.4814,11.6043,8.18884,12.0806,11.1146,12.7342,11.0209,8.17774,8.64602,8.41103,7.85605,8.70734,9.07115,8.61717,8.90105,8.90521
M9_WT_anaerobic_r3,10.1512,11.3407,8.19317,11.7538,11.0639,12.6404,11.0263,8.27017,8.60249,8.21651,7.75607,8.58987,9.33786,8.28067,8.7759,8.73368
M9_WT_anaerobic_r4,10.3872,11.3368,8.21458,11.6769,11.0601,12.7066,10.9308,8.35618,8.38229,8.28568,7.74443,8.52684,9.09923,8.1195,8.76134,8.9011
WT_MOPS_glucose_r1,11.3391,11.3001,8.40279,11.2491,11.6248,12.6333,11.1819,8.10432,8.85535,8.58044,8.24808,8.67877,9.21696,7.44463,8.46889,8.49529
WT_MOPS_glucose_r2,10.7146,11.0326,8.10425,11.0099,11.1392,12.7325,10.8413,7.69758,8.53647,8.63712,7.95302,8.57876,9.08438,7.63602,8.63053,8.45747
WT_MOPS_glucose_r3,10.0292,10.3364,8.26804,10.5052,11.0136,12.7946,10.5219,7.9176,9.13058,8.83449,8.53908,8.46591,9.29836,7.73983,8.59145,8.34378
WT_MOPS_glucose_r4,10.5846,10.6351,8.21598,11.2621,10.8568,12.9647,10.8056,7.79119,8.73479,8.64736,8.0294,8.57631,9.16064,7.48127,8.18469,8.38182
WT_MOPS_glucose_r5,10.6629,10.6695,8.42447,11.1465,11.2279,12.8209,10.7156,7.59934,8.61613,8.59999,8.24531,8.66499,9.05819,7.75472,8.21055,8.66121
WT_MOPS_acetate_r1,13.7589,13.3015,9.89304,11.2905,10.6815,12.8598,10.7556,9.16977,9.49385,9.29103,8.93215,10.3464,9.45247,7.89457,8.58865,8.47171
WT_MOPS_acetate_r2,13.8127,13.2152,9.8573,11.3007,10.803,12.6935,10.661,9.13489,9.4934,9.39052,8.82129,9.8453,9.47799,7.96479,8.74673,8.25707
WT_MOPS_glycerol_r1,12.2145,12.0827,8.56587,11.078,10.7223,12.4763,10.5744,8.14975,9.0351,8.88143,8.4944,9.35857,9.50653,7.79439,8.47184,8.39538
WT_MOPS_glycerol_r2,11.9923,11.9102,8.70214,11.2545,10.6504,12.6488,10.758,8.31114,9.02356,8.7925,8.50228,9.36458,9.37168,7.71676,8.51645,8.44126
WT_MOPS_proline_r1,13.8795,13.3429,9.53225,11.1009,10.5586,12.5105,10.4804,8.89844,9.20584,9.2259,8.62685,9.8882,9.34739,7.7241,8.38606,8.2595
WT_MOPS_proline_r2,13.6112,13.3212,9.54457,10.8189,10.5168,12.4214,10.6278,8.63751,9.36776,9.2653,8.56233,9.7273,9.21785,7.46101,8.17866,8.29437
WT_MOPS_lateLog_r1,10.6139,10.3789,8.34283,10.7108,10.9793,12.7104,10.5022,7.51087,8.63848,8.34539,8.13282,8.49323,8.94039,7.23105,7.71571,8.21265
WT_MOPS_lateLog_r2,10.775,10.4863,8.34799,10.9064,11.0137,12.8868,10.5393,7.24154,8.04903,8.52205,8.1538,8.62684,9.102,7.38585,7.90404,8.44499
WT_MOPS_lateLog_r3,9.89081,10.1866,8.26391,9.56164,10.8741,12.6843,10.3388,7.85763,8.73152,8.86929,8.37608,8.75337,9.39097,7.98579,8.37283,8.51341
WT_MOPS_stationary_r1,11.2686,11.1791,8.18108,10.5801,10.4717,12.7388,9.77253,9.74813,9.09999,9.77261,9.30237,9.8359,9.16838,7.43927,7.9153,7.86558
WT_MOPS_stationary_r2,11.0411,11.2741,7.85635,10.5081,10.835,12.7965,10.1903,9.3761,8.92985,9.69372,9.43448,9.68057,9.3021,7.26239,8.08985,7.75012
WT_MOPS_stationary2_r1,12.8212,12.6789,9.34927,10.866,10.0878,12.6907,9.91339,9.1639,10.0892,9.69194,8.62282,10.1023,9.26517,8.45879,8.35047,8.62665
WT_MOPS_stationary2_r2,13.0086,12.6494,9.22093,11.0737,10.0338,12.5942,9.87959,8.44318,9.6306,9.47235,8.44179,9.75513,8.57836,7.21477,7.50651,8.25656
WT_MOPS_stationary3_r1,8.57059,8.84849,7.92052,9.11182,9.01409,12.0549,9.30441,9.33516,10.2691,9.19705,8.75988,9.70199,9.22418,8.02799,8.02647,8.72578
WT_MOPS_stationary3_r2,9.07385,9.6527,8.08608,9.60173,9.58611,12.209,9.90822,9.29965,10.8662,9.01309,8.77486,10.1391,9.55335,7.87226,8.68288,8.38988
WT_MOPS_stationary4_r1,9.87912,10.2231,8.2352,9.97706,9.61238,11.5295,9.66595,9.97648,11.3105,9.1983,8.84584,9.28156,8.81569,5.99237,7.21704,8.09366
WT_MOPS_stationary4_r2,8.9106,9.45907,8.10109,9.46603,9.17043,11.5469,9.39439,9.94131,10.5443,9.26501,8.94378,9.78668,9.62055,8.27774,7.98234,8.83143
WT_MOPS_heatShock_r1,9.02207,9.59463,8.60362,10.9131,10.3376,11.1043,10.3841,7.39412,8.63072,8.29067,7.75587,8.477,9.04596,8.32141,9.66093,8.25705
WT_MOPS_acidShock_r1,10.1153,10.0464,8.12728,10.7357,10.4974,12.7966,10.4466,7.76572,8.8493,8.57732,8.14703,8.2939,9.04245,7.38872,7.94403,8.12718
WT_MOPS_acidShock_r2,10.2632,10.4179,8.0252,10.7307,10.5678,13.0188,10.427,7.85724,8.7578,8.69036,8.16217,8.60979,8.95712,7.82549,8.00977,8.07112
WT_MOPS_cipro_r1,9.27958,9.47914,8.06583,10.9629,10.6173,12.6453,10.2031,7.99397,8.77528,8.84607,8.0628,8.49461,9.08695,7.80058,8.08888,8.28751
WT_MOPS_cipro2_r1,9.46311,9.55723,8.17392,11.0296,10.538,12.8324,10.2006,7.81964,8.44963,8.57235,8.23068,8.38758,8.9825,7.37057,7.99742,7.97358
MOPS_K_crp_r1,11.7047,12.0695,8.84998,10.417,11.0648,12.7198,10.5342,7.605,8.59359,8.50049,8.06289,8.41654,9.05673,7.9004,8.58323,8.45793
MOPS_K_crp_r2,11.8159,12.1201,9.19179,10.8249,10.9631,12.7922,10.593,7.66426,8.21107,8.57337,8.05272,8.57259,9.12823,7.90457,8.12225,8.51214
MOPS_K_crp_r3,11.1206,11.4084,8.61053,10.662,11.0123,12.9922,10.5626,7.51605,8.51983,8.39898,8.15748,8.72392,8.86174,7.64634,8.40774,8.61819
MOPS_K_cspA_r1,10.631,10.5697,8.29742,10.875,10.8913,12.6921,10.5232,7.77981,8.5516,8.39016,8.11505,8.64419,9.30734,7.52101,8.27343,8.65248
MOPS_K_dps_r1,10.6619,10.4521,8.29097,11.0371,11.0181,12.9192,10.6716,7.90474,8.90236,8.60914,8.43343,8.71553,9.38513,7.81147,8.25949,8.40074
MOPS_K_dps_r2,10.6379,10.3918,8.26653,11.2138,10.8574,12.7797,10.6365,7.96294,8.77344,8.72032,8.46487,8.69801,9.34574,7.78189,8.16224,8.22135
MOPS_K_dps_r3,9.54622,9.82623,8.17231,10.8504,10.8991,13.0256,10.4744,7.81304,8.52656,8.64649,8.19463,8.576,9.11296,7.66503,8.33228,8.57076
MOPS_K_dps_stationary_r1,11.3592,11.406,8.64002,10.2636,9.6222,12.9962,9.53246,10.1251,10.1522,9.81773,9.1666,10.4874,9.22029,8.39456,8.2739,8.63781
MOPS_K_dps_stationary_r2,12.1883,11.7189,8.75985,10.4276,9.73794,12.8743,9.53891,10.2082,10.5042,9.71663,8.9717,10.4774,9.17367,8.28952,8.6056,8.49385
MOPS_K_dps_stationary2_r1,8.55717,9.02382,8.04423,9.47348,8.55277,11.4517,9.26331,9.87699,10.4146,9.46603,8.77658,9.37547,9.28953,7.74625,7.58697,8.66133
MOPS_K_hns_r1,10.6456,10.6571,8.10749,10.7248,10.6907,12.9618,10.271,7.79552,8.51639,8.64229,8.33656,8.70561,9.09393,7.57329,7.87524,8.08579
MOPS_K_hns_r2,10.0679,10.2302,8.19285,10.2242,10.5601,12.9562,10.0434,7.24647,8.34085,8.5291,7.82344,8.6115,8.75992,7.39523,7.83288,8.27518
MOPS_K_hns_r3,10.0922,10.4087,8.10549,10.5397,10.6292,12.8695,10.1668,7.49334,8.64063,8.52603,7.84896,8.77138,8.71641,7.68664,7.74453,8.15112
MOPS_K_hupB_r1,10.492,10.2367,8.25311,10.7418,10.9948,12.8678,10.5238,8.05882,8.80595,8.76951,8.41503,8.78916,9.51656,7.98544,8.36784,8.49999
MGD1_t0_r1,6.42936,5.90745,7.26851,10.7213,8.56645,11.0795,8.54544,6.28001,6.2328,7.37367,6.10709,7.07764,7.65558,6.01537,7.13551,8.49592
MGD1_t0_r2,7.87502,7.98169,8.37116,11.851,10.8093,12.0885,10.4593,8.14736,8.01094,8.78524,8.3145,9.04987,9.70688,8.13925,8.06261,9.23002
MGD1_t30_r1,8.41329,8.46513,8.22144,12.2222,10.198,11.8923,10.4471,9.01356,9.16247,9.92169,8.75706,9.69412,8.8904,8.58753,8.24746,8.55995
MGD1_t30_r2,7.55703,7.69329,8.03777,10.8703,10.2279,11.8626,10.4928,8.46058,8.5657,9.05669,8.51405,9.06133,8.86068,8.56879,8.43793,8.78783
pET3d_t0_r1,8.51379,8.77261,8.60109,10.3123,10.2279,12.0337,10.44,8.2425,8.39588,9.2762,8.34479,9.26375,9.21136,8.42006,7.78677,8.62436
pET3d_t0_r2,7.76591,7.95428,8.06505,10.5644,9.16873,11.2592,9.91185,7.78528,7.53356,8.98239,8.47078,9.37838,8.94009,8.38126,7.67266,9.03982
pET3d_t30_r1,7.70645,7.89229,8.20959,9.87178,9.4844,10.9905,10.2401,7.98717,9.11641,9.41025,8.9327,9.77366,8.84443,8.56823,7.19781,8.44872
pET3d_t30_r2,7.59363,8.41728,8.59323,9.80742,8.49851,9.68346,9.86634,8.64547,8.40576,9.63642,8.57892,9.45538,9.22253,8.50217,7.91716,8.67106
pepAA_t0_r1,7.89315,8.24885,7.92424,11.2785,10.3256,12.1694,10.5027,7.98028,8.63506,8.94931,8.61422,9.53921,9.86861,8.54999,7.90287,9.18344
pepAA_t0_r2,7.67101,8.04981,7.88325,11.8194,10.9029,12.2553,10.7932,8.01473,9.02534,9.17563,8.6449,9.57512,9.65872,8.66751,8.35856,9.1895
pepAA_t30_r1,8.12839,8.47102,8.38619,10.5277,9.66365,10.9664,10.5471,8.77317,8.77619,9.24405,8.58387,9.66591,9.33004,7.8737,7.8416,9.2023
pepAA_t30_r2,8.17606,8.6353,8.49154,9.87155,8.96476,10.3261,9.7326,8.44724,8.8298,9.86935,8.63964,9.54537,9.03549,8.50031,7.98324,8.84821
pepCO_t0_r1,8.12813,8.09266,8.39556,10.6413,10.6049,12.5004,10.227,8.23544,9.00342,9.48595,8.48513,9.58693,9.39231,8.39233,8.14527,8.80881
pepCO_t0_r2,7.51835,7.98128,8.26224,11.8579,11.4623,12.5591,11.5047,8.36542,8.93771,8.95055,8.30397,8.61275,9.34942,7.68875,7.57642,8.90052
pepCO_t30_r1,6.24888,7.21053,7.48135,11.1551,11.2541,13.0269,11.2405,8.63444,8.29202,7.81627,8.23699,8.84366,9.82589,8.41624,8.38395,8.60659
pepCO_t30_r2,8.44018,8.38812,8.20968,9.76065,9.41337,10.2765,10.2168,7.96504,9.124,9.31484,8.49165,9.30129,9.25429,8.39856,7.79651,8.58726
carbonSourceForaging_r1,12.3218,11.9447,8.66853,11.0696,11.2595,12.7209,11.1079,8.46192,9.2003,8.88592,8.56666,9.17905,9.30014,7.53988,8.51528,8.35484
carbonSourceForaging_r2,11.8035,11.2444,8.48663,10.9896,10.5631,12.5053,10.3649,8.10544,8.94155,8.99264,8.63018,8.75097,9.19219,7.87657,8.35264,8.17517
ast_pBAD18_r1,12.4537,12.2227,8.66998,11.2469,11.0012,12.1128,10.8252,8.73098,9.28901,9.03797,8.72895,9.46322,9.31086,7.55799,8.23563,8.40652
ast_pBAD18_r2,11.6789,11.5184,8.46591,10.8307,11.3625,12.6728,10.9028,8.83919,9.22286,8.92157,8.79169,9.52225,9.20897,7.52124,8.45558,8.39579
ast_pBAD18_r3,10.3733,10.4252,8.30141,10.7564,10.581,12.5334,10.7684,8.40062,8.80877,9.11411,8.60336,9.2474,9.38609,7.75041,8.21037,8.56496
ast_pBADsup2_r1,11.6078,11.4834,8.5034,11.4857,10.9749,12.4377,10.8642,8.66735,9.1329,8.95169,8.68102,9.33705,9.35546,7.84416,8.32974,8.55108
ast_pBADsup2_r2,12.5831,12.2278,8.93157,11.2272,11.2112,12.4246,10.8497,9.01676,9.45509,9.24032,8.67497,9.92045,9.18574,7.78631,8.46536,8.31287
ast_pBADsup2_r3,10.9267,11.1073,8.51732,10.9786,10.742,12.7354,10.9825,8.50603,9.0636,8.85401,8.64645,9.49141,9.41729,7.97031,8.43601,8.43929
fnr_wtAnaerobic_r1,9.7299,10.1346,8.12878,11.2034,11.2073,12.3932,10.8797,7.56985,8.46799,8.44888,8.25649,8.45385,9.23063,7.42925,8.26828,8.98426
fnr_wtAnaerobic_r2,9.05381,9.63657,7.86018,11.2802,10.8417,12.7916,10.716,8.10269,8.52481,8.7793,8.15486,8.39608,9.3643,8.01982,8.31176,8.72744
fnr_wtAnaerobic_r3,9.09717,9.60513,8.18408,11.0782,10.465,12.6276,10.5784,8.01754,8.64246,8.6368,8.4578,8.54274,9.25742,7.89756,8.34372,8.90271
fnr_K_fnrAerobic_r1,10.6732,10.932,8.44208,10.9036,10.8654,12.748,10.5745,8.12774,8.75485,8.96384,8.43119,8.75485,9.39242,7.96481,8.35186,8.2612
fnr_K_fnrAerobic_r2,10.9764,11.2043,8.40658,11.0246,11.0842,12.7352,10.8333,8.20522,8.94388,8.88188,8.42285,8.6878,9.3721,7.87403,8.4276,8.43749
fnr_K_fnrAerobic_r3,10.2436,10.4327,8.37599,10.6676,10.5193,12.7954,10.3958,7.99943,8.89851,8.95801,8.64262,8.63342,9.32769,7.87044,8.13773,8.44134
fnr_K_fnrAnaerobic_r1,10.2335,10.7333,8.07738,10.8518,11.3807,12.5271,10.8586,7.63083,8.52864,8.65421,8.21215,8.49645,9.15712,7.73554,8.43959,8.43125
fnr_K_fnrAnaerobic_r2,10.2852,10.7272,8.28338,10.9736,11.3864,12.5511,10.9158,7.84782,8.85804,8.84276,8.21685,8.45481,9.17118,7.9268,8.26488,8.43605
fnr_K_fnrAnaerobic_r3,10.3094,10.8761,8.19847,11.1923,11.2862,12.5666,10.9462,8.00559,8.50129,8.84715,8.3654,8.60544,9.24692,7.79993,8.35951,8.47122
fnr_K_fnrAnaerobic_r4,10.105,10.528,8.20202,11.0753,11.102,12.6895,10.8926,7.82196,8.64699,8.58614,8.26081,8.65489,9.22728,7.75239,8.11401,8.61682
har_S0_noIPTG_r1,12.1861,12.7485,8.46765,10.119,8.98451,11.1469,9.76763,8.26908,8.88987,9.20969,8.57205,8.77878,8.8369,8.38801,7.8419,8.06128
har_S0_noIPTG_r2,12.3085,12.9373,8.80027,10.0297,9.07254,11.2674,9.80475,7.81118,7.99305,9.24338,8.5651,8.42749,8.79803,7.69497,7.25082,8.35914
har_S0_noIPTG_r3,12.3959,13.0604,8.67974,10.1697,8.84273,11.381,9.4963,8.1703,8.27872,8.97289,8.52932,8.41678,8.54664,7.69089,7.57055,8.29215
har_S0_R_noIPTG_r1,13.5635,13.4719,9.58577,10.4808,9.88055,11.6152,10.2455,7.80914,8.87841,8.91354,8.17082,8.79864,8.9422,7.94164,7.75171,8.50465
har_S0_R_noIPTG_r2,13.5922,13.5193,9.60285,10.4102,9.89407,11.6236,10.255,7.63022,8.81646,8.63889,8.34381,8.69441,9.08722,7.77111,7.58488,8.64111
har_S0_R_noIPTG_r3,13.4938,13.5329,9.54116,10.1688,9.56767,11.2175,10.0889,7.88532,8.84365,8.85562,8.29946,8.77931,8.9903,7.9366,7.60929,8.59019
har_S0_R_noIPTG_r4,13.4151,13.4415,9.46623,10.2595,9.86236,11.3824,10.056,7.52979,8.8684,8.79237,8.33314,8.63964,8.92096,7.86698,7.63331,8.47916
har_S0_R_noIPTG_r5,13.4753,13.4833,9.57362,10.2498,9.99032,11.4575,10.2066,8.02773,9.07044,8.88272,8.1707,8.85576,9.12383,8.10941,7.73975,8.34645
har_S1_noIPTG_r1,12.2217,13.2601,8.7936,10.6187,9.09535,10.9911,10.0706,8.61941,8.6757,9.00836,8.68853,8.67941,8.71264,8.06668,7.88065,7.99682
har_S1_noIPTG_r2,12.358,13.3378,8.78394,10.4788,9.25396,11.4715,9.73336,8.19316,8.1513,9.04148,8.8388,8.85175,8.66803,8.11005,7.67388,8.66179
har_S1_noIPTG_r3,12.3566,13.1741,8.73153,10.4202,9.02073,10.975,9.65556,8.20485,8.27697,9.0049,8.5014,8.44155,8.69491,7.92053,7.77519,8.52922
har_S1_IPTG_r1,12.1688,12.6408,8.18572,10.9064,8.81449,11.0259,9.66442,8.02857,8.4219,9.14007,8.39368,8.65681,8.66718,7.97052,7.62931,7.97513
