,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
menB_U_N0075_r2,8.41939,9.52237,8.27736,11.4158,10.3815,11.814,10.6863,7.63902,8.64811,8.57431,8.03389,8.40226,8.34134,7.43896,8.14485,9.26998
menB_U_N0075_r3,9.0696,10.2477,8.6105,11.3789,10.405,11.9268,10.6129,7.52099,8.74984,8.63626,7.97908,8.68065,8.23933,7.26963,7.98246,9.38121
menC_U_N0075_r1,8.30966,9.22973,8.41854,11.5721,10.6891,12.1029,10.8613,7.57969,8.77701,8.5112,7.70846,8.59764,8.4025,7.46169,8.04023,9.45537
menC_U_N0075_r2,8.31503,9.55512,8.00336,11.4043,10.5435,11.8036,10.98,7.66226,8.63764,8.69281,8.09904,8.51612,8.85976,7.62556,8.17041,9.18104
menC_U_N0075_r3,9.16692,10.1227,8.32128,11.5866,10.6733,12.0556,10.9708,7.41957,8.27298,8.67114,7.90004,8.71053,8.55196,6.96432,7.97755,9.43413
minD_U_N0075_r1,8.43432,9.54209,8.05141,11.5487,10.7108,11.942,10.9152,7.84046,8.39474,8.21325,7.83457,8.61997,8.85687,7.64694,8.57718,9.34212
minD_U_N0075_r2,8.27742,8.98542,8.73882,11.2818,10.3055,11.828,10.4088,7.11031,8.56496,8.8244,8.00922,8.48606,8.06963,7.04822,7.71595,9.20803
minD_U_N0075_r3,8.81707,10.0405,8.32552,11.4822,10.6428,12.0225,10.9524,7.56089,8.69492,8.39819,7.71582,8.50353,8.32144,7.36052,8.10959,9.38964
minE_U_N0075_r1,8.6121,9.63381,7.85867,11.7045,10.967,12.192,10.9803,8.02168,7.90409,8.24384,7.95831,8.47025,8.89712,7.59745,8.68567,9.56297
minE_U_N0075_r2,8.39581,9.51791,8.0535,11.6435,10.7413,11.9705,11.0698,7.8754,8.5498,8.48419,8.01064,8.42169,8.74722,7.82442,8.39515,9.23586
minE_U_N0075_r3,8.85472,10.0483,8.38403,11.4707,10.3584,11.8166,10.7092,7.60745,8.62205,8.67861,7.74769,8.4531,8.36895,7.29674,8.03976,9.4149
murI_U_N0075_r1,8.42538,9.43746,8.03736,11.7127,10.9734,12.1778,11.139,8.07226,8.39502,8.34088,7.97093,8.55513,8.84223,7.5911,8.51715,9.38787
murI_U_N0075_r2,8.30683,9.29679,7.78541,11.656,10.6963,11.9891,11.0654,7.86528,8.51635,8.48643,8.00414,8.38728,8.90427,7.74409,8.52969,9.1459
murI_U_N0075_r3,8.88027,10.0681,8.26597,11.581,10.6491,12.0334,10.9443,7.74483,8.57047,8.50724,7.69268,8.44007,8.45166,7.35397,8.24701,9.29558
yoeB_U_N0075_r1,7.45961,8.30671,7.17701,11.3581,10.9608,11.7163,11.3722,8.82055,8.41479,7.92544,7.55101,8.22887,8.64379,8.06799,9.32819,10.4579
